212----匹配点数:1044, 正确匹配点数943, 准确率0.9032567143440247 
213----匹配点数:1413, 正确匹配点数1158, 准确率0.8195329308509827 
214----匹配点数:1520, 正确匹配点数1433, 准确率0.9427631497383118 
215----匹配点数:586, 正确匹配点数527, 准确率0.8993173837661743 
216----匹配点数:552, 正确匹配点数487, 准确率0.8822463750839233 
217----匹配点数:844, 正确匹配点数762, 准确率0.9028435945510864 
218----匹配点数:661, 正确匹配点数570, 准确率0.8623297810554504 
219----匹配点数:1018, 正确匹配点数923, 准确率0.9066797494888306 
220----匹配点数:1442, 正确匹配点数1239, 准确率0.8592233061790466 
221----匹配点数:2039, 正确匹配点数1754, 准确率0.8602256178855896 
222----匹配点数:408, 正确匹配点数324, 准确率0.7941176295280457 
223----匹配点数:459, 正确匹配点数366, 准确率0.7973856329917908 
224----匹配点数:1130, 正确匹配点数999, 准确率0.8840708136558533 
225----匹配点数:567, 正确匹配点数483, 准确率0.8518518805503845 
226----匹配点数:984, 正确匹配点数819, 准确率0.832317054271698 
227----匹配点数:1212, 正确匹配点数921, 准确率0.7599009871482849 
228----匹配点数:1910, 正确匹配点数1622, 准确率0.8492146730422974 
229----匹配点数:726, 正确匹配点数645, 准确率0.8884297609329224 
230----匹配点数:1303, 正确匹配点数1123, 准确率0.8618572354316711 
231----匹配点数:788, 正确匹配点数696, 准确率0.8832487463951111 
232----匹配点数:995, 正确匹配点数800, 准确率0.80402010679245 
233----匹配点数:1691, 正确匹配点数1498, 准确率0.8858663439750671 
234----匹配点数:1410, 正确匹配点数1264, 准确率0.8964539170265198 
235----匹配点数:8, 正确匹配点数3, 准确率0.375 
236----匹配点数:321, 正确匹配点数223, 准确率0.6947040557861328 
237----匹配点数:1400, 正确匹配点数1292, 准确率0.9228571653366089 
238----匹配点数:1311, 正确匹配点数1267, 准确率0.966437816619873 
239----匹配点数:3, 正确匹配点数0, 准确率0.0 
240----匹配点数:1131, 正确匹配点数949, 准确率0.8390804529190063 
241----匹配点数:1113, 正确匹配点数915, 准确率0.822102427482605 
242----匹配点数:1203, 正确匹配点数1061, 准确率0.8819617629051208 
243----匹配点数:767, 正确匹配点数701, 准确率0.9139504432678223 
244----匹配点数:141, 正确匹配点数106, 准确率0.7517730593681335 
245----匹配点数:1062, 正确匹配点数955, 准确率0.8992466926574707 
246----匹配点数:63, 正确匹配点数37, 准确率0.5873016119003296 
247----匹配点数:1278, 正确匹配点数1039, 准确率0.8129890561103821 
248----匹配点数:1643, 正确匹配点数1448, 准确率0.8813146948814392 
249----匹配点数:1468, 正确匹配点数1295, 准确率0.8821526169776917 
250----匹配点数:12, 正确匹配点数7, 准确率0.5833333134651184 
251----匹配点数:1574, 正确匹配点数1248, 准确率0.792884349822998 
252----匹配点数:1571, 正确匹配点数1335, 准确率0.8497772216796875 
253----匹配点数:316, 正确匹配点数191, 准确率0.6044303774833679 
254----匹配点数:498, 正确匹配点数464, 准确率0.9317269325256348 
255----匹配点数:910, 正确匹配点数788, 准确率0.8659340739250183 
256----匹配点数:1766, 正确匹配点数1529, 准确率0.8657984137535095 
257----匹配点数:313, 正确匹配点数216, 准确率0.690095841884613 
258----匹配点数:1140, 正确匹配点数1017, 准确率0.8921052813529968 
